order_id,platform,slug,b_name,vb_name,order_date,transaction_type,payout_id,payout_date,net_payout,lost_sale
000a02d0-67aa-4dc7-bc77-51d7b0cd7fcd,Doordash,sandbox_23907398_dd,Fireside Fusion,SavorStreet Soothe Supper Sanctuary,2024-01-31,DELIVERY,361873613,2024-02-08,13.61,0.0
000a02d0-67aa-4dc7-bc77-51d7b0cd7fcd,Doordash,sandbox_23907398_dd,Fireside Fusion,SavorStreet Soothe Supper Sanctuary,2024-01-31,ERROR_CHARGE_INACCURATE,361873613,2024-02-08,-17.18,0.0
000e2d46-6320-46f8-895e-b279e798034d,Doordash,sandbox_23467162_dd,Savvy Saffron,CulinaCraft,2024-02-03,DELIVERY,361796683,2024-02-08,32.56,0.0
000e2d46-6320-46f8-895e-b279e798034d,Doordash,sandbox_23467162_dd,Savvy Saffron,CulinaCraft,2024-02-03,ERROR_CHARGE_INACCURATE,361796683,2024-02-08,-0.96,0.0
001d1cfa-e6ee-46a0-8154-23744fdb5e79,Doordash,sandbox_926109_dd,Piquant Palette,TasteTrail Tavern,2024-02-07,DELIVERY,PENDING,,39.15,0.0
001d1cfa-e6ee-46a0-8154-23744fdb5e79,Doordash,sandbox_926109_dd,Piquant Palette,TasteTrail Tavern,2024-02-07,ERROR_CHARGE_INACCURATE,PENDING,,-10.25,0.0
003ca3c2-fd98-3001-8521-33ff5d34c11f,Doordash,sandbox_24360294_dd,Epicurean Embrace,CulinaCraft,2024-02-03,ERROR_CHARGE_INACCURATE,361641227,2024-02-08,-0.29,0.0
003ca3c2-fd98-3001-8521-33ff5d34c11f,Doordash,sandbox_24360294_dd,Epicurean Embrace,CulinaCraft,2024-02-03,DELIVERY,361641227,2024-02-08,31.15,0.0
0043723e-c71b-4b65-a5e3-eb0e9a3e9f68,Doordash,sandbox_24997626_dd,Culinary Carousel,CulinaCraft,2024-01-19,CANCELLED_NOT_PAID,PENDING,,0.0,15.99
004765ae-9907-4006-82ed-189426668e21,Doordash,sandbox_23467162_dd,Savvy Saffron,CulinaCraft,2024-01-14,ADJUSTMENT,358609924,2024-01-25,6.03,0.0
004765ae-9907-4006-82ed-189426668e21,Doordash,sandbox_23467162_dd,Savvy Saffron,CulinaCraft,2024-01-14,ERROR_CHARGE_INACCURATE,357010068,2024-01-18,-6.03,0.0
004765ae-9907-4006-82ed-189426668e21,Doordash,sandbox_23467162_dd,Savvy Saffron,CulinaCraft,2024-01-14,DELIVERY,357010068,2024-01-18,26.77,0.0
006b0f8d-b969-3001-903b-cd92197e28aa,Doordash,sandbox_858928_dd,Whisk & Savor,CulinaCraft Collective,2024-01-26,ERROR_CHARGE_INACCURATE,360326127,2024-02-01,-4.42,0.0
